year,sat,ref2
2000,L7,296.724031117423
2001,L7,296.938292950926
2002,L7,296.838351264044
2003,L7,298.372072384011
2004,L7,293.156793904017
2005,L7,298.567460678017
2006,L7,296.457120921872
2007,L7,296.066800501709
2008,L7,296.138123652718
2009,L7,296.125963377574
2010,L7,294.376518189815
2011,L7,293.687084122375
2012,L7,298.092214575064
2013,L7,296.857934490744
2014,L7,295.733952924297
2015,L7,297.765892077912
2016,L7,297.211738941987
2017,L7,296.80309837544
2018,L7,297.379753354715
2019,L7,292.463104986845
2020,L7,295.676070826173
2021,L7,292.543046325197
2022,L7,291.201971488247
2023,L7,294.136806037537
2024,L7,294.632613187364
2025,L8,298.779514138195
2014,L8,294.109240093967
2015,L8,297.503921644831
2016,L8,299.691036239902
2017,L8,296.874086450651
2018,L8,297.636305889103
2019,L8,298.08205499057
2020,L8,295.811826900371
2021,L8,296.678169054373
2022,L8,297.066183925352
2023,L8,295.66475730431
2024,L8,297.644928469754
